Header_Identifier,Date_Latest,Metadata_Identifier,Metadata_Identifier_Handle_ID,Metadata_Identifier_CMS_ID,Metadata_Identifier_Accession_ID,Metadata_Identifier_File_ID,URL
oai:rosetta.slv.vic.gov.au:IE7948423,2021-09-03T22:07:34Z,IE7948423,10381/401275,1013577,,FL19119195,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19119195
oai:rosetta.slv.vic.gov.au:IE7948449,2021-09-03T22:07:36Z,IE7948449,10381/402708,1013577,,FL19120228,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19120228
oai:rosetta.slv.vic.gov.au:IE8754593,2021-09-04T15:19:51Z,IE8754593,10381/300982,2574766,,FL16424652,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16424652
oai:rosetta.slv.vic.gov.au:IE8754845,2021-09-04T02:53:27Z,IE8754845,10381/301487,2641330,,FL16443248,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16443248
oai:rosetta.slv.vic.gov.au:IE875459,2021-09-04T10:02:46Z,IE875459,10381/62308,1769529,H32492/7907,FL15855547,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15855547
oai:rosetta.slv.vic.gov.au:IE8754851,2021-09-04T22:48:14Z,IE8754851,10381/300773,2573899,,FL16444557,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16444557
oai:rosetta.slv.vic.gov.au:IE8754857,2021-09-04T02:53:28Z,IE8754857,10381/300971,2574782,,FL16443948,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16443948
oai:rosetta.slv.vic.gov.au:IE8754869,2021-09-04T10:09:31Z,IE8754869,10381/300772,2574065,,FL16443866,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16443866
oai:rosetta.slv.vic.gov.au:IE8754875,2021-09-04T18:35:23Z,IE8754875,10381/301203,2574653,,FL16426127,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16426127
oai:rosetta.slv.vic.gov.au:IE8754881,2021-09-04T02:53:31Z,IE8754881,10381/301493,2577037,,FL16425894,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16425894
oai:rosetta.slv.vic.gov.au:IE8754893,2021-09-04T02:53:32Z,IE8754893,10381/301485,2655079,,FL16424675,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16424675
oai:rosetta.slv.vic.gov.au:IE8754899,2021-09-04T10:04:24Z,IE8754899,10381/302200,2690372,,FL16443049,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16443049
oai:rosetta.slv.vic.gov.au:IE8754905,2021-09-04T02:53:33Z,IE8754905,10381/302023,2695977,,FL16425480,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16425480
oai:rosetta.slv.vic.gov.au:IE8754911,2021-09-04T02:53:34Z,IE8754911,10381/300947,2574760,,FL16424579,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16424579
oai:rosetta.slv.vic.gov.au:IE8754923,2021-09-04T02:53:35Z,IE8754923,10381/301518,2577365,,FL16442625,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16442625
oai:rosetta.slv.vic.gov.au:IE791220,2021-09-03T21:52:57Z,IE791220,10381/281613,1760324,,FL18912221,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18912221
oai:rosetta.slv.vic.gov.au:IE791231,2021-09-03T21:52:59Z,IE791231,10381/108618,2246759,,FL16032497,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16032497
oai:rosetta.slv.vic.gov.au:IE791234,2021-09-03T21:52:59Z,IE791234,10381/283585,1184718,,FL16032475,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16032475
oai:rosetta.slv.vic.gov.au:IE7912341,2021-09-03T21:53:01Z,IE7912341,10381/115441,971786,,FL19536413,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19536413
oai:rosetta.slv.vic.gov.au:IE791237,2021-09-03T21:53:02Z,IE791237,10381/428333,2246781,,FL16032519,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16032519
